;NUM_ACC;MOIS_ACC;HEU_ACC;COD_PRV;COD_ETA_CHA;COD_ETA_SUR;COD_LUM;COD_INT;TYP_LIE_ACC;NUM_ROU;PKM;LAR_CHA;COD_TYP_CHA;COD_TYP_COL;COD_OBS_HRT;COD_POI_CHO;COD_MAN;CIR_ACC
0;1;1;19;14;1;1;1;1;1;5043;2;5;1;3;15;6;6;31
1;2;1;20;35;1;1;1;1;1;5332;9999;6;1;7;15;9;6;36
3;4;1;8;42;1;1;2;1;1;504;40;7;1;1;15;1;4;36
4;5;1;21;42;1;1;1;1;1;6;227;7;1;8;14;1;16;32
5;6;1;6;66;1;1;1;1;1;5029;3;6;1;8;14;1;16;32
8;9;1;10;35;1;1;2;1;1;510;33;6;1;8;14;1;16;32
10;11;1;8;35;1;1;2;1;1;5314;5;6;1;8;13;9;11;21
12;15;1;20;42;1;1;1;1;1;5016;9999;4;1;7;15;8;4;42
13;17;1;19;66;1;1;1;1;1;5002;36;5;1;7;15;8;4;82
14;19;1;10;42;1;1;2;1;1;5027;9999;5;1;8;13;9;11;21
18;24;1;16;7;1;1;2;1;1;15;326;6;1;8;13;9;11;82
19;27;1;20;7;1;1;1;1;1;5131;9999;5;1;8;14;1;16;32
20;28;1;18;7;1;1;1;1;1;15;272;6;1;3;15;9;1;38
21;29;1;16;35;1;1;2;1;1;506;18;6;1;1;15;1;4;38
24;32;1;19;14;1;1;1;1;1;802;205;7;2;2;15;4;1;46
27;37;1;14;42;1;1;2;1;1;5016;9999;3;1;8;13;9;21;31
28;38;1;17;42;1;1;2;1;1;5407;9999;4;1;8;13;9;11;38
30;42;1;12;42;1;1;2;1;1;504;37;6;1;8;13;9;11;21
31;43;1;13;42;1;1;2;1;1;504;40;7;1;3;15;8;1;9
34;47;1;15;42;1;1;2;1;1;6;238;7;1;7;15;9;6;21
35;48;1;8;42;1;1;2;1;1;6;225;7;1;2;15;9;1;21
36;52;1;18;42;1;1;1;1;1;504;9999;5;1;7;15;9;6;21
37;55;1;16;42;1;1;2;1;1;504;6;5;1;8;13;9;11;9
39;57;1;20;42;1;1;1;1;1;8;701;7;1;3;15;6;1;82
