Unnamed: 0,NUM_ACC,id_vehicule,age_veh,COD_TYP_VEH,COD_USA_VEH,COD_PRV,COD_FAU_CON,COD_TYP_COL,COD_TRA,NUM_ROU
0,155,1788922,22,3,0,20,5,7,4,3525
1,176,1788951,27,1,0,46,4,0,9,9
2,199,1788982,1,3,4,46,5,0,9,12
3,5912,1789002,0,3,4,27,4,1,4,2323
4,5912,1789003,4,1,0,27,9,1,0,2323
5,5923,1789020,7,1,0,68,4,7,0,2339
6,5923,1789021,30,3,0,68,4,7,0,2339
7,6128,1789096,3,5,1,23,4,7,9,712
8,6128,1789097,26,3,9,23,4,7,9,712
9,6129,1789098,1,1,0,23,4,7,9,7055
10,6129,1789099,0,1,0,23,4,7,9,7055
11,6132,1789103,34,3,0,23,1,7,9,7040
12,6132,1789104,0,0,0,23,9,7,9,7040
13,6163,1789151,14,3,2,23,4,8,2,4
14,8864,1789182,6,3,1,10,4,2,9,316
15,8864,1789183,2,1,0,10,9,2,9,316
16,8865,1789184,1,1,0,10,1,3,9,316
17,8865,1789185,0,3,4,10,9,3,0,316
18,8875,1789204,31,7,4,58,4,8,9,3440
19,8892,1789228,6,1,0,58,4,3,9,202
20,8892,1789229,6,3,0,58,4,3,9,202
21,9712,1789314,4,1,3,20,4,7,0,3533
22,472,1789445,7,3,1,27,3,1,3,2307
23,472,1789446,18,3,4,27,3,1,4,2307
24,472,1789447,11,9,0,27,4,1,2,2307
25,483,1789464,0,3,5,27,4,8,9,1
26,488,1789472,0,1,0,27,4,2,0,202
27,488,1789473,10,3,1,27,4,2,3,202
28,505,1789499,11,3,9,68,4,8,0,201
29,1215,1789513,2,3,1,72,9,2,0,3009
30,1215,1789514,0,1,9,72,4,2,0,3009
31,1220,1789520,7,3,0,72,4,2,0,3011
32,1220,1789521,1,1,0,72,9,2,0,3011
33,1222,1789524,5,3,0,72,4,3,0,3011
34,1222,1789525,6,1,0,72,9,3,0,3011
35,1228,1789534,6,3,0,71,4,8,0,3336
36,1245,1789572,27,3,0,72,4,3,0,1
37,1245,1789573,2,1,0,72,5,3,0,1
38,79,1789624,33,3,0,66,4,8,9,5003
39,108,1789671,1,1,0,66,4,8,9,4
40,244,1789734,12,6,0,16,4,2,3,4234
41,244,1789735,16,7,2,16,4,2,3,4234
42,264,1789765,5,3,4,16,4,8,9,4211
43,5978,1789798,6,1,4,16,4,8,9,4202
44,5992,1789826,47,8,4,16,9,2,9,805
45,5992,1789827,3,3,4,16,4,2,9,805
46,5994,1789830,1,1,0,16,4,8,9,1
47,8912,1789910,12,3,0,10,4,1,9,3461
48,8912,1789911,19,3,4,10,4,1,9,3461
49,522,1790216,0,99,5,57,4,8,9,8
50,1378,1790264,0,1,0,6,4,0,9,404
51,1272,1790309,36,3,0,71,1,3,0,9
52,1272,1790310,2,1,0,71,9,3,0,9
53,1275,1790313,40,3,0,72,9,3,0,1
54,1275,1790314,1,1,0,72,4,3,0,1
55,1289,1790341,6,3,0,72,4,3,0,3009
56,1289,1790342,1,1,0,72,4,3,0,3009
57,120,1790382,8,1,0,14,4,0,9,8
58,120,1790383,0,0,0,14,4,0,9,8
59,273,1790472,28,3,4,16,4,3,9,4214
60,273,1790473,7,3,0,16,4,3,9,4214
61,278,1790480,9,3,0,16,4,3,9,4214
62,278,1790481,3,3,0,16,4,3,9,4214
63,284,1790489,32,3,0,17,4,8,9,413
64,290,1790497,11,3,4,17,4,1,4,4536
65,290,1790498,2,1,0,17,4,1,4,4536
66,1501,1790513,22,6,2,65,4,0,3,3216
67,1501,1790514,0,12,9,65,4,0,0,3216
68,1511,1790528,12,3,0,65,4,0,0,8
69,1515,1790534,22,3,0,65,4,3,0,8
70,1519,1790540,5,1,0,65,4,0,0,3203
71,1519,1790541,0,0,0,65,9,0,0,3203
72,8922,1790643,7,1,0,10,4,2,9,316
73,8922,1790644,0,0,0,10,9,2,9,316
74,8940,1790697,12,3,0,10,4,2,9,301
75,8940,1790698,5,3,1,10,9,2,9,301
76,8944,1790705,4,3,4,10,4,8,9,3410
77,10005,1790832,29,3,0,28,4,3,2,316
78,10005,1790833,12,3,0,28,4,3,1,316
79,10010,1790842,6,3,0,28,4,8,0,803
80,10011,1790843,6,3,0,28,5,8,0,803
81,12323,1790919,0,3,9,72,4,7,9,3014
82,12323,1790920,0,3,9,72,9,7,9,3014
83,12330,1790931,20,3,0,71,1,3,4,9
84,12330,1790932,0,1,0,71,4,3,3,9
85,12347,1790965,1,1,0,72,4,2,9,320
86,12347,1790966,2,3,9,72,4,2,9,320
87,1425,1791021,23,3,0,5,4,7,0,8
88,1433,1791032,12,3,4,5,2,8,9,8
89,1433,1791033,6,1,4,5,9,8,9,8
90,1446,1791053,4,1,0,5,4,7,0,3222
91,1446,1791054,1,1,0,5,4,7,0,3222
92,1317,1791068,11,3,0,54,4,1,4,3606
93,1317,1791069,0,1,4,54,4,1,4,3606
94,1345,1791107,6,3,0,28,4,8,9,308
95,538,1791144,2,1,0,11,5,8,2,8
96,564,1791188,26,3,0,48,4,1,0,201
97,564,1791189,1,1,0,48,9,1,0,201
98,1165,1791280,0,1,0,51,4,0,4,3002
99,1537,1791324,31,3,0,65,4,0,0,11
100,1537,1791325,1,1,0,65,9,0,0,11
101,1556,1791355,14,1,0,4,4,0,9,304
102,1556,1791356,3,15,0,4,1,0,9,304
103,10035,1791704,24,3,0,56,5,8,0,6
104,10045,1791734,14,3,0,26,4,8,2,9999
105,12361,1791764,5,3,0,50,4,8,4,803
106,1464,1791843,0,3,9,5,4,2,9,3208
107,1464,1791844,14,1,0,5,4,2,9,3208
108,1479,1791868,11,3,0,5,4,7,0,11
109,1479,1791869,0,1,0,5,4,7,0,11
110,1490,1791887,12,1,0,65,4,7,0,3216
111,1499,1791900,26,7,0,65,4,8,0,309
112,1806,1791912,11,3,0,58,4,8,9,202
113,1830,1791950,44,3,4,47,4,7,2,6010
114,1830,1791951,2,1,0,47,4,7,2,6010
115,306,1791999,23,3,0,17,4,7,9,413
116,306,1792000,7,3,0,17,9,7,9,413
117,306,1792001,4,3,1,17,9,7,9,413
118,313,1792012,0,3,1,17,4,7,3,4536
119,1681,1792119,1,1,4,10,4,8,1,3473
120,4914,1792200,10,3,0,66,4,7,9,5013
121,4914,1792201,0,1,0,66,4,7,9,5013
122,1585,1792234,3,3,4,30,4,7,4,805
123,8354,1792322,6,3,0,65,5,3,0,8
124,8358,1792332,19,3,0,5,4,3,0,3213
125,8358,1792333,1,1,0,5,4,3,0,3213
126,8367,1792383,1,1,0,4,4,0,9,302
127,8367,1792384,0,0,0,4,4,0,9,302
128,8368,1792387,28,3,0,65,4,2,0,3203
129,8368,1792388,0,1,0,65,4,2,0,3203
130,9580,1792508,12,8,2,16,4,8,3,805
131,1618,1792756,42,3,0,30,4,1,0,1
132,1618,1792757,1,1,0,30,4,1,0,1
133,1621,1792760,5,15,0,15,4,8,9,6111
134,1626,1792767,4,3,4,15,5,0,9,17
135,1644,1792793,9,1,0,10,4,5,9,316
136,1644,1792794,2,1,0,10,4,5,9,316
137,1644,1792795,8,3,0,10,4,5,9,316
138,1652,1792806,0,1,5,10,4,2,9,316
139,1652,1792807,7,1,0,10,9,2,9,316
