Victimes,COD_ETA_CHA,COD_TYP_CHA,COD_TYP_COL,COD_MAN,AGE_CON,TMJA_en_veh_j,POS_ACO_DRO,POS_ACO_GAU,SIG_HOR,SIG_VER,COD_USA_VEH,COD_FAU_NON_CON,age_veh,route_class,Type_veh,Predicted_CLASSE_ISR
459,1,1,3,18,61,20149,1,1,1,1,0,9,0,1,1,1
280,1,1,3,1,25,4893,1,1,1,1,0,9,1,2,1,1
80,1,1,3,1,52,11490,1,1,1,2,0,9,12,2,1,1
51,1,1,8,11,63,4397,1,1,1,2,0,3,8,2,1,1
1,1,1,8,10,49,845,1,1,1,2,4,9,1,2,3,4
459,1,1,3,18,35,20149,1,1,1,1,4,9,21,1,3,1
32,1,1,3,12,70,10568,1,1,1,1,0,9,2,1,3,3
376,1,1,2,1,53,12248,1,1,2,2,0,9,4,1,3,1
22,1,1,2,1,31,3224,1,1,1,2,4,9,8,1,3,1
62,1,2,7,10,44,12248,1,1,1,1,4,9,2,1,3,1
46,1,1,4,2,28,7481,1,1,1,1,0,9,14,1,3,1
19,1,1,3,14,67,1676,1,1,1,2,0,9,41,3,3,3
3,1,1,2,1,61,2870,1,1,1,1,0,9,26,2,3,3
49,1,1,3,14,28,3037,1,1,1,2,0,9,1,2,3,1
124,1,1,2,1,34,26640,1,1,1,1,4,9,1,1,5,1
17,1,1,8,10,42,4304,1,1,1,1,0,9,14,1,3,3
5,1,1,1,4,26,10976,1,1,1,1,4,9,0,1,1,3
13,1,1,7,11,38,2402,1,1,1,1,0,9,30,3,3,3
109,1,1,7,1,23,8008,1,1,1,1,9,9,1,1,1,1
15,1,1,7,1,74,2109,1,1,1,1,0,9,5,1,3,4
5,1,1,3,1,37,648,1,1,1,1,0,9,0,2,3,3
25,1,1,3,6,17,3037,1,1,1,1,0,9,2,2,1,1
8,1,1,8,16,46,2449,1,1,2,2,0,9,30,1,3,4
3,1,1,2,1,36,4392,1,1,1,1,0,9,37,1,3,4
114,1,1,1,2,26,3377,1,1,1,1,0,9,15,3,1,1
17,1,1,3,2,24,15315,1,1,1,1,0,9,2,1,1,3
90,1,1,2,1,23,4597,1,1,1,1,0,9,4,2,3,1
459,1,1,3,15,63,2231,1,1,1,1,0,9,1,1,1,1
39,1,2,7,1,46,10399,1,1,1,1,0,9,10,3,0,3
