NUM_ACC,MOIS_ACC,HEU_ACC,COD_PRV,COD_ETA_CHA,COD_ETA_SUR,COD_LUM,COD_INT,TYP_LIE_ACC,NUM_ROU,PKM,LAR_CHA,COD_TYP_CHA,COD_TYP_COL,COD_OBS_HRT,COD_POI_CHO,COD_MAN,CIR_ACC
1,1.0,19,14,1,1,1,1,1,5043.0,2.2,5.0,1.0,3.0,15,6.0,6.0,31
2,1.0,20,35,1,1,1,1,1,5332.0,9999.99,6.0,1.0,7.0,15,9.0,6.0,36
4,1.0,8,42,1,1,2,1,1,504.0,40.4,7.0,1.0,1.0,15,1.0,4.0,36
5,1.0,21,42,1,1,1,1,1,6.0,227.2,7.0,1.0,8.0,14,1.0,16.0,32
6,1.0,6,66,1,1,1,1,1,5029.0,3.5,6.0,1.0,8.0,14,1.0,16.0,32
9,1.0,10,35,1,1,2,1,1,510.0,33.5,6.0,1.0,8.0,14,1.0,16.0,32
11,1.0,8,35,1,1,2,1,1,5314.0,5.5,6.0,1.0,8.0,13,9.0,11.0,21
15,1.0,20,42,1,1,1,1,1,5016.0,9999.99,4.0,1.0,7.0,15,8.0,4.0,42
17,1.0,19,66,1,1,1,1,1,5002.0,36.1,5.0,1.0,7.0,15,8.0,4.0,82
19,1.0,10,42,1,1,2,1,1,5027.0,9999.99,5.0,1.0,8.0,13,9.0,11.0,21
24,1.0,16,7,1,1,2,1,1,15.0,326.21,6.0,1.0,8.0,13,9.0,11.0,82
27,1.0,20,7,1,1,1,1,1,5131.0,9999.99,5.0,1.0,8.0,14,1.0,16.0,32
28,1.0,18,7,1,1,1,1,1,15.0,272.48,6.0,1.0,3.0,15,9.0,1.0,38
29,1.0,16,35,1,1,2,1,1,506.0,18.2,6.0,1.0,1.0,15,1.0,4.0,38
32,1.0,19,14,1,1,1,1,1,802.0,205.3,7.0,2.0,2.0,15,4.0,1.0,46
37,1.0,14,42,1,1,2,1,1,5016.0,9999.99,3.0,1.0,8.0,13,9.0,21.0,31
38,1.0,17,42,1,1,2,1,1,5407.0,9999.99,4.0,1.0,8.0,13,9.0,11.0,38
42,1.0,12,42,1,1,2,1,1,504.0,37.0,6.0,1.0,8.0,13,9.0,11.0,21
43,1.0,13,42,1,1,2,1,1,504.0,40.6,7.0,1.0,3.0,15,8.0,1.0,9
47,1.0,15,42,1,1,2,1,1,6.0,238.6,7.0,1.0,7.0,15,9.0,6.0,21
48,1.0,8,42,1,1,2,1,1,6.0,225.0,7.0,1.0,2.0,15,9.0,1.0,21
52,1.0,18,42,1,1,1,1,1,504.0,9999.99,5.0,1.0,7.0,15,9.0,6.0,21
55,1.0,16,42,1,1,2,1,1,504.0,6.2,5.0,1.0,8.0,13,9.0,11.0,9
57,1.0,20,42,1,1,1,1,1,8.0,701.0,7.0,1.0,3.0,15,6.0,1.0,82
58,1.0,9,42,1,1,2,1,1,503.0,16.5,7.0,2.0,2.0,15,4.0,1.0,46
59,1.0,1,42,1,1,1,1,1,503.0,21.8,7.0,2.0,8.0,13,9.0,11.0,21
60,1.0,11,42,1,1,2,1,1,503.0,50.3,6.0,1.0,3.0,15,6.0,1.0,31
61,1.0,9,42,1,1,2,1,1,503.0,18.5,7.0,2.0,8.0,13,9.0,11.0,82
62,1.0,6,42,1,1,1,1,1,503.0,34.3,6.0,1.0,7.0,4,8.0,11.0,3
63,1.0,19,42,1,1,1,1,1,503.0,16.8,7.0,2.0,3.0,15,8.0,1.0,9
65,1.0,14,35,1,1,2,1,1,510.0,10.0,5.0,1.0,8.0,13,9.0,10.0,9
66,1.0,19,35,1,1,1,1,1,5319.0,10.0,5.0,1.0,8.0,13,9.0,10.0,9
67,1.0,23,35,1,1,1,1,1,8.0,798.2,6.0,1.0,8.0,13,9.0,10.0,9
68,1.0,15,35,1,1,2,1,1,8.0,794.4,6.0,1.0,2.0,15,1.0,1.0,9
69,1.0,19,35,1,1,1,1,1,8.0,798.3,6.0,1.0,8.0,13,9.0,11.0,21
70,1.0,22,35,1,1,1,1,1,8.0,794.0,6.0,1.0,8.0,13,9.0,11.0,21
71,1.0,14,35,1,1,2,1,1,8.0,790.11,6.0,1.0,7.0,15,9.0,1.0,9
72,1.0,17,35,1,1,2,1,1,5314.0,15.0,5.0,1.0,8.0,13,9.0,10.0,9
