carat,cut,color,clarity,depth,table,price,x,y,z
0.23,Ideal,E,SI2,61.5,55.0,326.0,,3.98,2.43
,Premium,E,SI1,,61.0,,,3.84,2.31
0.23,Good,E,VS1,56.9,65.0,327.0,,4.07,2.31
0.29,Premium,I,VS2,,58.0,334.0,,,2.63
0.31,Good,,,,58.0,335.0,4.34,4.35,
,,,,62.8,57.0,336.0,,3.96,2.48
,Very Good,I,VVS1,62.3,57.0,336.0,3.95,3.98,2.47
0.26,Very Good,H,,61.9,55.0,337.0,,4.11,2.53
0.22,,,VS2,65.1,61.0,337.0,3.87,3.78,
,Very Good,H,VS1,59.4,61.0,338.0,4.0,4.05,2.39
,Good,J,,,55.0,339.0,4.25,4.28,2.73
0.23,Ideal,J,VS1,62.8,56.0,340.0,3.93,3.9,
,Premium,F,SI1,60.4,61.0,,3.88,3.84,
0.31,Ideal,J,,,54.0,,4.35,,
,,E,SI2,60.2,62.0,345.0,,3.75,2.27
0.32,,E,,60.9,58.0,345.0,,4.42,
,Ideal,I,SI2,62.0,54.0,348.0,4.31,4.34,2.68
0.3,Good,J,SI1,,,351.0,4.23,4.29,
0.3,,,,63.8,56.0,351.0,4.23,4.26,
,Very Good,,,62.7,59.0,,,,2.66
0.3,Good,I,SI2,63.3,,351.0,,,2.71
0.23,,E,,63.8,55.0,352.0,,3.92,
0.23,Very Good,,,61.0,,353.0,3.94,3.96,2.41
0.31,Very Good,J,SI1,59.4,62.0,353.0,4.39,4.43,2.62
0.31,,J,SI1,58.1,62.0,353.0,4.44,4.47,2.59
0.23,Very Good,G,,60.4,58.0,354.0,3.97,,2.41
,,I,VS1,,57.0,355.0,3.97,3.94,
0.3,Very Good,J,,62.2,,,4.28,4.3,2.67
0.23,,D,,60.5,61.0,,3.96,3.97,2.4
0.23,,F,VS1,60.9,57.0,,3.96,3.99,2.42
0.23,Very Good,F,,60.0,57.0,402.0,,4.03,2.41
0.23,Very Good,F,,59.8,57.0,402.0,,4.06,
,Very Good,E,VS1,60.7,59.0,,3.97,4.01,2.42
,,,,,58.0,402.0,4.01,4.06,2.4
0.23,Very Good,D,VS1,,58.0,402.0,3.92,,2.44
0.23,Good,F,VS1,58.2,,,,4.08,
0.23,Good,E,,64.1,59.0,402.0,3.83,3.85,
,Good,H,,64.0,54.0,402.0,4.29,4.31,
0.26,,D,VS2,60.8,59.0,403.0,4.13,4.16,2.52
0.33,Ideal,,SI2,61.8,55.0,,4.49,4.51,2.78
0.33,Ideal,I,SI2,61.2,56.0,403.0,4.49,4.5,2.75
,,,SI1,61.1,56.0,,4.49,4.55,2.76
,Good,D,,65.2,56.0,403.0,,4.02,2.61
0.26,Good,D,VS1,58.4,63.0,403.0,,4.24,2.46
